id,difficulty
0,C2
1,A2
2,A1
3,A2
4,C2
5,C2
6,A2
7,A2
8,C1
9,A1
10,A1
11,A2
12,B2
13,C1
14,A2
15,A2
16,C1
17,A2
18,B1
19,A1
20,C2
21,A1
22,C1
23,B2
24,A2
25,C2
26,B2
27,A1
28,A1
29,A2
30,A1
31,C2
32,A1
33,B1
34,A2
35,B1
36,C1
37,B2
38,A2
39,A1
40,A2
41,C1
42,C2
43,C1
44,C2
45,C2
46,B2
47,C2
48,A1
49,A1
50,C1
51,A1
52,B2
53,A2
54,A1
55,C2
56,C1
57,C1
58,C1
59,B1
60,A1
61,A1
62,C2
63,C2
64,C1
65,B2
66,C2
67,B1
68,B2
69,C2
70,A1
71,C1
72,B2
73,B1
74,B1
75,A1
76,A1
77,C1
78,A2
79,B2
80,A2
81,A2
82,C2
83,B1
84,C2
85,C2
86,A2
87,C2
88,C1
89,C2
90,C2
91,A2
92,B1
93,C2
94,A2
95,A2
96,B2
97,A2
98,C2
99,C2
100,C1
101,B2
102,A2
103,A2
104,C2
105,C1
106,B1
107,A1
108,A2
109,C1
110,C1
111,A1
112,C1
113,B2
114,C2
115,B1
116,C1
117,B1
118,B1
119,C2
120,A2
121,B1
122,C2
123,C1
124,A2
125,C2
126,B2
127,B2
128,C1
129,B2
130,A2
131,A2
132,A2
133,C2
134,C2
135,C2
136,A1
137,B2
138,A2
139,B2
140,A1
141,C1
142,C2
143,C2
144,C1
145,B2
146,A1
147,C2
148,A1
149,B1
150,B2
151,C1
152,B1
153,A2
154,A2
155,A2
156,C1
157,A1
158,A1
159,A1
160,A2
161,A1
162,B2
163,B2
164,C2
165,C1
166,A1
167,C1
168,B1
169,B1
170,A2
171,B2
172,A1
173,A2
174,B1
175,C1
176,C1
177,C1
178,C1
179,B1
180,A2
181,C2
182,C2
183,A2
184,C1
185,B2
186,A2
187,B1
188,B2
189,A2
190,A1
191,C1
192,C1
193,C2
194,C2
195,A1
196,C2
197,B1
198,B2
199,A2
200,B2
201,C2
202,C1
203,A2
204,B1
205,A1
206,A1
207,B1
208,A1
209,A1
210,A2
211,A1
212,A1
213,B2
214,B2
215,B2
216,C1
217,C1
218,A2
219,C1
220,B2
221,C2
222,A1
223,B2
224,A1
225,C1
226,A2
227,B1
228,A1
229,A1
230,A1
231,C2
232,C2
233,A2
234,B1
235,C1
236,B2
237,B2
238,B1
239,C2
240,A2
241,C2
242,A1
243,A1
244,C1
245,A1
246,A1
247,B1
248,A2
249,B2
250,C2
251,B1
252,A1
253,C2
254,C2
255,C2
256,A2
257,A1
258,A1
259,C2
260,B1
261,B1
262,A1
263,C2
264,B1
265,C2
266,B1
267,B1
268,C1
269,C2
270,A2
271,A1
272,B1
273,C2
274,A2
275,C1
276,B2
277,C2
278,B1
279,B2
280,A1
281,C2
282,C1
283,A2
284,B2
285,B2
286,B2
287,C2
288,C1
289,C2
290,C1
291,B2
292,A1
293,A2
294,C2
295,B2
296,A1
297,C2
298,A2
299,A1
300,B2
301,A1
302,C2
303,A1
304,B2
305,A1
306,B2
307,C2
308,C1
309,A1
310,C2
311,B2
312,C1
313,B1
314,B2
315,C2
316,A1
317,C2
318,C1
319,A1
320,C2
321,B2
322,C1
323,C2
324,A1
325,A1
326,C2
327,C1
328,B1
329,A2
330,C1
331,A2
332,B1
333,B2
334,A1
335,A2
336,A2
337,A2
338,C1
339,C1
340,C1
341,A1
342,C2
343,B1
344,C2
345,A2
346,B1
347,B2
348,A1
349,B1
350,C2
351,C2
352,C1
353,B2
354,B2
355,C2
356,B2
357,B1
358,C2
359,C1
360,A2
361,A2
362,A1
363,B1
364,C1
365,C2
366,A2
367,B2
368,C1
369,C2
370,A2
371,A1
372,C2
373,A1
374,C2
375,C1
376,A1
377,A2
378,B2
379,A2
380,B2
381,A1
382,A1
383,A1
384,A1
385,C1
386,C2
387,A1
388,C2
389,A2
390,C2
391,B2
392,A1
393,C2
394,C2
395,C1
396,A2
397,A1
398,B1
399,B1
400,B2
401,A1
402,A1
403,B2
404,A2
405,C2
406,B2
407,A2
408,B1
409,C1
410,B2
411,B1
412,C1
413,C1
414,C1
415,B2
416,A2
417,B2
418,B2
419,C2
420,A1
421,C2
422,C1
423,B2
424,B1
425,B2
426,B1
427,C2
428,A1
429,C2
430,A1
431,A2
432,B2
433,A1
434,A1
435,A1
436,C2
437,C2
438,A1
439,A1
440,B1
441,B1
442,C2
443,C1
444,A1
445,A2
446,B1
447,C2
448,A1
449,A2
450,C2
451,A1
452,A2
453,A2
