id,difficulty
0,C2
1,B1
2,B1
3,A2
4,C2
5,C2
6,A2
7,A2
8,C2
9,A1
10,A1
11,A2
12,B2
13,C1
14,A1
15,A2
16,C1
17,A2
18,A2
19,A1
20,C2
21,C1
22,B2
23,C1
24,B1
25,C2
26,A1
27,A1
28,C2
29,B1
30,A2
31,A2
32,A1
33,A2
34,A2
35,A2
36,C1
37,B1
38,A1
39,A1
40,A2
41,B2
42,C2
43,C1
44,C1
45,C1
46,B2
47,C2
48,A1
49,A2
50,C2
51,A1
52,B2
53,A2
54,A1
55,B2
56,B2
57,C1
58,B2
59,A2
60,B2
61,A2
62,C1
63,C1
64,B2
65,B2
66,B2
67,B1
68,B2
69,C2
70,A1
71,B2
72,B2
73,A2
74,B2
75,A2
76,B2
77,C1
78,A2
79,B2
80,A2
81,A1
82,B1
83,A2
84,A2
85,C2
86,C2
87,C2
88,C1
89,B1
90,C1
91,A2
92,C1
93,C1
94,B1
95,A2
96,B1
97,A2
98,B1
99,C2
100,C2
101,C1
102,A2
103,A2
104,C2
105,C2
106,B1
107,A2
108,A2
109,C1
110,B2
111,A1
112,C1
113,C1
114,C2
115,B1
116,C1
117,A2
118,A2
119,B2
120,A2
121,B2
122,B1
123,C1
124,A1
125,C2
126,C1
127,C1
128,C1
129,C1
130,A2
131,A2
132,C1
133,B1
134,C2
135,C2
136,A2
137,C1
138,B1
139,B1
140,A2
141,C1
142,C2
143,C2
144,B2
145,B2
146,A1
147,C1
148,C2
149,B1
150,B2
151,B1
152,A1
153,A2
154,A2
155,B2
156,C1
157,A1
158,A1
159,A2
160,A2
161,A1
162,B1
163,B2
164,C1
165,C1
166,A1
167,B1
168,B1
169,B2
170,B2
171,B1
172,A1
173,A2
174,A1
175,C1
176,C2
177,B2
178,B1
179,C1
180,A2
181,C1
182,B2
183,B1
184,B2
185,A2
186,A2
187,B1
188,C1
189,C2
190,A1
191,B2
192,B2
193,B1
194,B2
195,A2
196,C1
197,B2
198,B2
199,B1
200,C1
201,C1
202,A1
203,A1
204,C1
205,A2
206,B1
207,B1
208,A2
209,A1
210,A2
211,A1
212,A2
213,B2
214,B2
215,B2
216,B1
217,C1
218,A2
219,B2
220,B2
221,C1
222,A1
223,B1
224,A1
225,C1
226,A2
227,B1
228,A2
229,A1
230,B2
231,C2
232,C2
233,B1
234,B1
235,B2
236,C2
237,A1
238,C1
239,C2
240,B1
241,B1
242,A1
243,A2
244,B2
245,A1
246,B1
247,B2
248,A2
249,B1
250,B1
251,B2
252,A1
253,B2
254,B1
255,C2
256,A2
257,A1
258,A1
259,C2
260,A2
261,A2
262,A1
263,B1
264,B2
265,C1
266,B1
267,B1
268,B2
269,C1
270,A2
271,C2
272,B1
273,C1
274,A2
275,B2
276,B2
277,C2
278,C1
279,B2
280,A1
281,C1
